"מק""ט (SKU)",שם מוצר רשמי (קומקס),קטגוריה לוגיסטית,יחידת מידה,סלנג ומילות מפתח לנרמול AI,סיווג וחישוב פקדונות,"משקל יח' (ק""ג)",מחסן מקור ברירת מחדל,שיוך נהג ומשאית ברירת מחדל
9876798,מסלול F47 אורך 3 מטר,פרופילים ושלד,יח',מסלול F47 אורך,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9877475,"לוח גבס סטרונג לבן 16 מ""מ מ",לוחות גבס,יח',לוח גבס סטרונג לבן,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9877476,"לוח גבס סטרונג ירוק 16 מ""מ",לוחות גבס,יח',לוח גבס סטרונג ירוק,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
9879230,תקרה אקוסטית פסיפיק 60/60,אחר,חב',תקרה אקוסטית פסיפיק 60/60,ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
9888918,פתח שרות 60/120 קלסאיק OPEN,אחר,יח',פתח שרות 60/120 קלסאיק OPEN,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
731020020,פתח שרות 20 ORBOND,אחר,יח',פתח שרות 20 ORBOND,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
731030030,פתח שרות 30 ORBOND,אחר,יח',פתח שרות 30 ORBOND,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
731040040,פתח שרות 40 ORBOND,אחר,יח',פתח שרות 40 ORBOND,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
731050050,פתח שרות 50 ORBOND,אחר,יח',פתח שרות 50 ORBOND,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
731060040,פתח שרות 60/40 ORBOND,אחר,יח',פתח שרות 60/40 ORBOND,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
731060060,פתח שרות 60 ORBOND,אחר,יח',פתח שרות 60 ORBOND,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
732060060,פתח שרות 60 RUGSEMIN,אחר,יח',פתח שרות 60 RUGSEMIN,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
732080080,פתח שרות 80 RUGSEMIN,אחר,יח',פתח שרות 80 RUGSEMIN,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
735040040,פתח שרות 40 בייסיק OPEN ART,אחר,יח',פתח שרות 40 בייסיק OPEN ART,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
735050050,פתח שרות 50 בייסיק OPEN ART,אחר,יח',פתח שרות 50 בייסיק OPEN ART,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
18097,הובלת מנוף (אלעד),הובלות ומנוף,יח',הובלת מנוף (אלעד),ללא,0,🏭 4️⃣(החרש),חכמת (מנוף)
31014,פינת טיח 1014 גרמני 3 מטר,מליטה וצמנט,גליל,פינת טיח 1014 גרמני,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
30549,"מייק 10 מ""מ 3.00 מ.א",אחר,יח',מייק,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
24280,"רשת טיח לממ""ד לבן 2.8 מ""מ 45 מ.א",מליטה וצמנט,גליל,"רשת טיח לממ""ד לבן","משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
729020,מסמרי פלדה 50X3 ד.קישוט,ברגים ופרזול,יח',מסמרי פלדה 50X3 ד.קישוט,ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
1610300,"ברזל בניין 10 מ""מ 3 מ.א",ברגים ופרזול,יח',ברזל בניין,ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
58044,דלי עבודה שחור 10 ליטר,אחר,דלי,דלי עבודה שחור,ללא,10,🏭 4️⃣(החרש),חכמת / עלי
24112,ניילון ממוחזר 200 גליל,אחר,גליל,ניילון ממוחזר 200 גליל,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
58102,שקית פסולת יוטה 25 יח',אחר,יח',שקית פסולת יוטה 25 יח',ללא,0,🏭 4️⃣(החרש),חכמת / עלי
24250,רשת טיח 20 50 מ.א.,מליטה וצמנט,גליל,רשת טיח 20,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
9870421,"מברשת רובי ""4",אחר,יח',"מברשת רובי ""4",ללא,0,🏭 4️⃣(החרש),חכמת / עלי
18095,"הובלת מנוף ראש העין-פ""ת",הובלות ומנוף,יח',"הובלת מנוף ראש העין-פ""ת",ללא,0,🏭 4️⃣(החרש),חכמת (מנוף)
1608320,רשת ברזל 8.0 20#20 3X2.5,ברגים ופרזול,יח',רשת ברזל 8.0 20#20 3X2.5,ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
24608,"יריעה APP י4 לבן 10 מ""ר",חומרי איטום,"מ""ר","יריעה APP י4 לבן 10 מ""ר",ללא,0,🏭 4️⃣(החרש),חכמת / עלי
24650,"פריימר ליריעות 474GS פח 15 ק""ג",צבע ופריימרים,שק,פריימר ליריעות 474GS פח,ללא,15,🏟️ 1️⃣(התלמיד),חכמת / עלי
24050,"גליל קרטון לריצוף 50 מ""ר",אחר,גליל,"גליל קרטון לריצוף 50 מ""ר",ללא,0,🏭 4️⃣(החרש),חכמת / עלי
53009,סופרקריל לבן 18 ליטר,צבע ופריימרים,יח',סופרקריל לבן,ללא,18,🏟️ 1️⃣(התלמיד),חכמת / עלי
650286,"רולר פס צהוב פרלון ""9",אחר,יח',"רולר פס צהוב פרלון ""9",ללא,0,🏭 4️⃣(החרש),חכמת / עלי
640012,דיסק ברזל 1.6X4.5 גמל,ברגים ופרזול,יח',דיסק ברזל 1.6X4.5 גמל,ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
18109,"הובלת מנוף (צ.שרון,כ.יונה)",הובלות ומנוף,יח',"הובלת מנוף (צ.שרון,כ.יונה)",ללא,0,🏭 4️⃣(החרש),חכמת (מנוף)
41909,שומר מרחק נדל 25 100 מ.א.,אחר,גליל,שומר מרחק נדל 25,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
114200,לוח גבס כחול 200 ע 12.50,לוחות גבס,יח',לוח גבס כחול 200 ע 12.50,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),עלי (פתוחה)
15090,"רוקבונד 28 ק""ג",שפכטלים,שק,רוקבונד,ללא,28,🏟️ 1️⃣(התלמיד),חכמת / עלי
57076,"פרופילה 5 ק""ג",פרופילים ושלד,שק,פרופילה,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
14075,"טיח גבס 75MP שק 25 ק""ג",מליטה וצמנט,שק,טיח גבס 75MP שק,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),עלי (פתוחה)
9882409,רשת ברזל ג' חם 4.2 10#10 2.1X2.9,ברגים ופרזול,יח',רשת ברזל ג' חם 4.2 10#10 2.1X2.9,ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
4910200,H10 וולקן מ.א.,אחר,גליל,H10 וולקן מ.א.,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
18075,הובלת מנוף רמת גן-גבעתיים,הובלות ומנוף,יח',הובלת מנוף רמת גן-גבעתיים,ללא,0,🏭 4️⃣(החרש),חכמת (מנוף)
90018900,סולר - ליטר,חביות וכימיקלים,יח',סולר - ליטר,ללא,1,🏭 4️⃣(החרש),חכמת / עלי
70070446,מגורי עובדים זרים,אחר,יח',מגורי עובדים זרים,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
47073050,בלוק לבן/קל 7/30/50,בלוקים ומוצרי בטון,יח',בלוק לבן/קל 7/30/50,"משטח בלוקים (75/100/150 יח') (מק""ט 60006)",0,🏭 4️⃣(החרש),חכמת (מנוף)
47053050,בלוק לבן/קל 5/30/50,בלוקים ומוצרי בטון,יח',בלוק לבן/קל 5/30/50,"משטח בלוקים (75/100/150 יח') (מק""ט 60006)",0,🏭 4️⃣(החרש),חכמת (מנוף)
47202560,בלוק לבן/קל 20/25/60,בלוקים ומוצרי בטון,יח',בלוק לבן/קל 20/25/60,"משטח בלוקים (75/100/150 יח') (מק""ט 60006)",18,🏭 4️⃣(החרש),חכמת (מנוף)
47052560,בלוק לבן/קל 5/25/60,בלוקים ומוצרי בטון,יח',בלוק לבן/קל 5/25/60,"משטח בלוקים (75/100/150 יח') (מק""ט 60006)",0,🏭 4️⃣(החרש),חכמת (מנוף)
47105060,בלוק לבן/קל 10/50/60,בלוקים ומוצרי בטון,יח',בלוק לבן/קל 10/50/60,"משטח בלוקים (75/100/150 יח') (מק""ט 60006)",12,🏭 4️⃣(החרש),חכמת (מנוף)
41546,להבים LBD OLFA 50,אחר,יח',להבים LBD OLFA 50,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
41544,להבים לסכין יפני רחב,כלי עבודה,יח',להבים לסכין יפני רחב,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
41543,להבים לסכין יפני STANLEY,כלי עבודה,יח',להבים לסכין יפני STANLEY,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
42702,סכין יפני רחב כתום,כלי עבודה,יח',סכין יפני רחב כתום,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15453,סופר 7 שקוף 290ML,דבקים וסיליקון,יח',סופר 7 שקוף 290ML,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
15454,סופר 7 לבן ML290,דבקים וסיליקון,יח',סופר 7 לבן ML290,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
1610600,"ברזל בניין 10 מ""מ 6 מ.א.",ברזל ומתכת,יח',"ברזל בניין 10 מ""מ 6 מ.א.",ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
1612600,"ברזל בניין 12 מ""מ 6 מ.א.",ברזל ומתכת,יח',"ברזל בניין 12 מ""מ 6 מ.א.",ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
1614600,"ברזל בניין 14 מ""מ 6 מ.א.",ברזל ומתכת,יח',"ברזל בניין 14 מ""מ 6 מ.א.",ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
1665320,רשת ברזל 6.5 20#20 2.5X3,ברזל ומתכת,יח',רשת ברזל 6.5 20#20 2.5X3,ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
53018,בונדרול סופר 16 ליטר,צבע ופריימרים,יח',בונדרול סופר,ללא,16,🏭 4️⃣(החרש),חכמת / עלי
58053,דלי צבע לבן 18 ליטר,צבע ופריימרים,דלי,דלי צבע לבן,ללא,18,🏟️ 1️⃣(התלמיד),חכמת / עלי
