"מק""ט (SKU)",שם מוצר רשמי (קומקס),קטגוריה לוגיסטית,יחידת מידה,סלנג ומילות מפתח לנרמול AI,סיווג וחישוב פקדונות,"משקל יח' (ק""ג)",מחסן מקור ברירת מחדל,שיוך נהג ומשאית ברירת מחדל
1930110,"איגולפלקס 301 SIKAי 10 ק""ג",אחר,שק,איגולפלקס 301 SIKAי,ללא,10,🏭 4️⃣(החרש),חכמת / עלי
1932025,"גראוט 3200 25 ק""ג SIKA",מליטה וצמנט,שק,גראוט 3200,"משטח סבן (40 שקים) (מק""ט 60060)",25,🏭 4️⃣(החרש),חכמת / עלי
1949020,"סיקה לסטיק 490Tי 20 ק""ג",חומרי איטום,שק,סיקה לסטיק 490Tי,ללא,20,🏭 4️⃣(החרש),חכמת / עלי
1956005,"לסטיק 560 לבן 5 ק""ג SIKA",אחר,שק,לסטיק 560 לבן,ללא,5,🏭 4️⃣(החרש),חכמת / עלי
1956006,"לסטיק 560 טרקוטה 5 ק""ג SIKA",אחר,שק,לסטיק 560 טרקוטה,ללא,5,🏭 4️⃣(החרש),חכמת / עלי
1956020,"לסטיק 560 לבן 20 ק""ג SIKA",אחר,שק,לסטיק 560 לבן,ללא,20,🏭 4️⃣(החרש),חכמת / עלי
1961001,"מונוטופ SIKA 610י 1 ק""ג",מליטה וצמנט,שק,מונוטופ SIKA 610י,"משטח סבן (40 שקים) (מק""ט 60060)",1,🏭 4️⃣(החרש),חכמת / עלי
1962805,"סיקה לסטיק 629T גלון 5 ק""ג",חומרי איטום,שק,סיקה לסטיק 629T גלון,ללא,5,🏭 4️⃣(החרש),חכמת / עלי
1962820,"סיקה לסטיק 629T פח 20 ק""ג",חומרי איטום,שק,סיקה לסטיק 629T פח,ללא,20,🏟️ 1️⃣(התלמיד),חכמת / עלי
1968001,סיקה גרד 680Sי 1 ליטר SIKA,חומרי איטום,יח',סיקה גרד 680Sי,ללא,1,🏭 4️⃣(החרש),חכמת / עלי
1968005,סיקה גרד 680Sי 5 ליטר SIKA,חומרי איטום,יח',סיקה גרד 680Sי,ללא,5,🏭 4️⃣(החרש),חכמת / עלי
1968030,"סיקה גרד 680Sי 30 ק""ג SIKA",חומרי איטום,שק,סיקה גרד 680Sי,ללא,30,🏭 4️⃣(החרש),חכמת / עלי
1970018,גרד SIKA 700Hי מט 18 ליטר,אחר,יח',גרד SIKA 700Hי מט,ללא,18,🏭 4️⃣(החרש),חכמת / עלי
1979001,"סילר 790 מט SIKAי 1 ק""ג",חומרי איטום,שק,סילר 790 מט SIKAי,ללא,1,🏭 4️⃣(החרש),חכמת / עלי
1979005,"סילר 790 מט SIKAי 5 ק""ג",חומרי איטום,שק,סילר 790 מט SIKAי,ללא,5,🏭 4️⃣(החרש),חכמת / עלי
1991002,"מונוטופ SIKA 910י 2 ק""ג",מליטה וצמנט,שק,מונוטופ SIKA 910י,"משטח סבן (40 שקים) (מק""ט 60060)",2,🏭 4️⃣(החרש),חכמת / עלי
1991005,"מונוטופ SIKA 910י 5 ק""ג",מליטה וצמנט,שק,מונוטופ SIKA 910י,"משטח סבן (40 שקים) (מק""ט 60060)",5,🏭 4️⃣(החרש),חכמת / עלי
9371302,פיות לאנקור פיקס 5 יחידות S,אחר,יח',פיות לאנקור פיקס 5 יחידות S,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
9381755,סיקה קונסטרקשן בג' שרוול,חומרי איטום,חב',סיקה קונסטרקשן בג' שרוול,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
9381756,סיקה קונסטרקשן אפור שרוול,חומרי איטום,חב',סיקה קונסטרקשן אפור שרוול,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
9381907,סיקה קונסטרקשן לבן שרוול,חומרי איטום,חב',סיקה קונסטרקשן לבן שרוול,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
9382364,"פריימר סיקהפלור 156 10 ק""ג",חומרי איטום,שק,פריימר סיקהפלור 156,ללא,10,🏟️ 1️⃣(התלמיד),חכמת / עלי
9383292,"כדורי זכוכית לצבע 1 ק""ג SIK",צבע ופריימרים,שק,כדורי זכוכית לצבע,ללא,1,🏟️ 1️⃣(התלמיד),חכמת / עלי
9383427,"סיל טייפ F ר'10 ס""מ 25 מ.א.",אחר,גליל,"סיל טייפ F ר'10 ס""מ",ללא,0,🏭 4️⃣(החרש),חכמת / עלי
9383722,"שפכטל מוכן 303 5 ק""ג SIKA",שפכטלים,שק,שפכטל מוכן 303,ללא,5,🏟️ 1️⃣(התלמיד),חכמת / עלי
9383723,"שפכטל ויסקו רפ 5 ק""ג SIKA",שפכטלים,שק,שפכטל ויסקו רפ,ללא,5,🏟️ 1️⃣(התלמיד),חכמת / עלי
9870929,סיקה 118 EXTREME תרמיל,חומרי איטום,יח',סיקה 118 EXTREME תרמיל,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
9873090,"תוסף לרובה 2 ק""ג SIKA",מליטה וצמנט,שק,תוסף לרובה,"משטח סבן (40 שקים) (מק""ט 60060)",2,🏭 4️⃣(החרש),עלי (פתוחה)
9873316,טינר SIKA C'י 3 ליטר,צבע ופריימרים,יח',טינר SIKA C'י,ללא,3,🏟️ 1️⃣(התלמיד),חכמת / עלי
9875058,פיה לשרוול סיקפלקס,חומרי איטום,יח',פיה לשרוול סיקפלקס,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
9876401,סיקה סים FIBERS שקית 600 גר,חומרי איטום,יח',סיקה סים FIBERS שקית 600 גר,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
9876808,רשת פליס 120 לשריון 560 '50,אחר,גליל,רשת פליס 120 לשריון 560 '50,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
9876982,"סיקלסטיק 612י 7.1 ק""ג SIKA",אחר,שק,סיקלסטיק 612י,ללא,7.1,🏭 4️⃣(החרש),חכמת / עלי
9880445,סיקפלור 4400 אפור SIKAי 20,אחר,יח',סיקפלור 4400 אפור SIKAי 20,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
9882364,"סיקלסטיק 640י 25 ק""ג SIKA",אחר,שק,סיקלסטיק 640י,ללא,25,🏭 4️⃣(החרש),חכמת / עלי
9882515,"סיקה לסטיק 688Sי 25 ק""ג SIK",חומרי איטום,שק,סיקה לסטיק 688Sי,ללא,25,🏭 4️⃣(החרש),חכמת / עלי
9882559,"אקטיבייטור 205 1 ק""ג לSIKA",אחר,שק,אקטיבייטור 205,ללא,1,🏭 4️⃣(החרש),חכמת / עלי
9882662,"סיקה ברפרן SIKAי 30 ק""ג",חומרי איטום,שק,סיקה ברפרן SIKAי,ללא,30,🏭 4️⃣(החרש),חכמת / עלי
9888927,מאסטרסיל PB 5000R פח 22.5 ק,ברגים ופרזול,יח',מאסטרסיל PB 5000R פח 22.5 ק,ללא,0,🏟️ 1️⃣(התלמיד),חכמת / עלי
9888953,"שפכטל חוץ מוכן 340 25 ק""ג S",שפכטלים,שק,שפכטל חוץ מוכן 340,ללא,25,🏟️ 1️⃣(התלמיד),חכמת / עלי
71700,סרט/רשת 5 לגבס 20 מ.א.,לוחות גבס,גליל,סרט/רשת 5 לגבס,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
71710,סרט/רשת 5 לגבס 90 מ.א.,לוחות גבס,גליל,סרט/רשת 5 לגבס,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
71712,סרט/רשת 15 לגבס 20 מ.א.,לוחות גבס,גליל,סרט/רשת 15 לגבס,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
71720,סרט פינה משתנה 30 מ.א. ריין,פרופילים ושלד,גליל,סרט פינה משתנה,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
71723,סרט פינה משתנה 30 מ.א. חוץ,פרופילים ושלד,גליל,סרט פינה משתנה,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
71727,פינה 3768 לקשת 33/13.5 3 מ.,פרופילים ושלד,יח',פינה 3768 לקשת 33/13.5 3 מ.,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
71730,"סרט נייר לגבס ""2 75 מטר",לוחות גבס,גליל,"סרט נייר לגבס ""2",ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
71735,"סרט נייר לגבס ""2 150 מטר",לוחות גבס,גליל,"סרט נייר לגבס ""2",ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
71755,פינה קשיחה+נייר 3 מטר,פרופילים ושלד,גליל,פינה קשיחה+נייר,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
71760,פינה J+נייר 3 מטר אורבונד,פרופילים ושלד,גליל,פינה J+נייר,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
71780,פינה אפס אלומ' גרמני 3 מ.א.,פרופילים ושלד,גליל,פינה אפס אלומ' גרמני,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
71785,חצי פינה אפס אלומ' גרמני 3,פרופילים ושלד,יח',חצי פינה אפס אלומ' גרמני 3,ללא,0,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
71793,פיבה FIBAFUSEי 76 מ.א.,אחר,גליל,פיבה FIBAFUSEי,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
71796,"פיבה FIBAFUSEי 100 45 מ""ר",אחר,"מ""ר","פיבה FIBAFUSEי 100 45 מ""ר",ללא,0,🏭 4️⃣(החרש),חכמת / עלי
71799,פיבה פיוז 76 מ.א.,אחר,גליל,פיבה פיוז,ללא,0,🏭 4️⃣(החרש),חכמת / עלי
75090,מסלול אומגה תקן 300,פרופילים ושלד,יח',מסלול אומגה תקן 300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
75300,ניצב אומגה תקן 300,פרופילים ושלד,יח',ניצב אומגה תקן 300,ללא,1.8,🏟️ 1️⃣(התלמיד),עלי (פתוחה)
76010,"בידוד מינרלי 12 ק""ג 24 מ""ר",בידוד ואקוסטיקה,שק,בידוד מינרלי,ללא,12,🏟️ 1️⃣(התלמיד),חכמת / עלי
